Matrix dimensions: m = n = k, GFLOPS
40,1.280000e+01
80,1.329870e+01
120,1.382400e+01
160,1.500366e+01
200,1.841197e+01
240,2.319463e+01
280,2.491714e+01
320,2.483365e+01
360,2.426209e+01
400,2.438560e+01
440,2.399211e+01
480,2.379346e+01
520,2.388652e+01
560,2.293386e+01
600,2.377153e+01
640,2.198088e+01
680,2.196751e+01
720,2.287269e+01
760,2.225537e+01
800,2.265186e+01
