Matrix dimensions: m = n = k, GFLOPS
40,6.736842e+00
80,6.023529e+00
120,5.300613e+00
160,5.428761e+00
200,6.196747e+00
240,7.129448e+00
280,7.219865e+00
320,7.087272e+00
360,6.836044e+00
400,6.907717e+00
440,6.818538e+00
480,6.773565e+00
520,6.690681e+00
560,6.639546e+00
600,6.670166e+00
640,6.638994e+00
680,6.566604e+00
720,6.517567e+00
760,6.537683e+00
800,6.520507e+00
