Matrix dimensions: m = n = k, GFLOPS
40,2.133333e+01
80,1.861818e+01
120,1.868108e+01
160,1.896296e+01
200,1.932367e+01
240,2.446726e+01
280,2.488889e+01
320,2.543112e+01
360,2.510412e+01
400,2.507346e+01
440,2.544705e+01
480,2.525220e+01
520,2.433085e+01
560,2.509338e+01
600,2.529718e+01
640,2.487253e+01
680,2.496780e+01
720,2.489067e+01
760,2.480020e+01
800,2.502688e+01
