Matrix dimensions: m = n = k, GFLOPS
40,1.280000e+01
80,1.190698e+01
120,1.010526e+01
160,1.197661e+01
200,1.351351e+01
240,1.541137e+01
280,1.708327e+01
320,1.706222e+01
360,1.638778e+01
400,1.666233e+01
440,1.642418e+01
480,1.602899e+01
520,1.631373e+01
560,1.632878e+01
600,1.623938e+01
640,1.618123e+01
680,1.447761e+01
720,1.402951e+01
760,1.603068e+01
800,1.593750e+01
