Matrix dimensions: m = n = k, GFLOPS
40,1.075630e+00
80,8.006255e-01
120,9.667133e-01
160,1.151209e+00
200,1.628830e+00
240,1.910712e+00
280,1.864922e+00
320,1.823788e+00
360,1.770458e+00
400,1.762066e+00
440,1.737474e+00
480,1.735375e+00
520,1.691647e+00
560,1.698627e+00
600,1.682748e+00
640,1.681893e+00
680,1.676537e+00
720,1.660123e+00
760,1.663607e+00
800,1.656652e+00
