Matrix dimensions: m = n = k, GFLOPS
40,1.422222e+01
80,1.505882e+01
120,1.483262e+01
160,1.675256e+01
200,2.005013e+01
240,2.323361e+01
280,2.493129e+01
320,2.502329e+01
360,2.409917e+01
400,2.427000e+01
440,2.466242e+01
480,2.345038e+01
520,2.348163e+01
560,2.350321e+01
600,2.170091e+01
640,2.211066e+01
680,2.335007e+01
720,2.296628e+01
760,2.286452e+01
800,2.146931e+01
