Matrix dimensions: m = n = k, GFLOPS
40,1.254902e+00
80,1.256442e+00
120,1.413497e+00
160,1.730460e+00
200,2.151405e+00
240,2.311126e+00
280,2.318914e+00
320,2.298219e+00
360,2.313941e+00
400,2.310803e+00
440,2.280757e+00
480,2.287795e+00
520,2.261088e+00
560,2.294764e+00
600,2.301177e+00
640,2.284997e+00
680,2.294446e+00
720,2.221390e+00
760,2.302444e+00
800,2.293439e+00
