Matrix dimensions: m = n = k, GFLOPS
40,1.600000e+01
80,1.484058e+01
120,1.600000e+01
160,1.631873e+01
200,1.982652e+01
240,2.408362e+01
280,2.619570e+01
320,2.616208e+01
360,2.560000e+01
400,2.559488e+01
440,2.616216e+01
480,2.574302e+01
520,2.552564e+01
560,2.523581e+01
600,2.545219e+01
640,2.517952e+01
680,2.522216e+01
720,2.516335e+01
760,2.503142e+01
800,2.515785e+01
