Matrix dimensions: m = n = k, GFLOPS
40,2.723404e+00
80,1.969231e+00
120,1.789746e+00
160,1.806395e+00
200,1.928175e+00
240,1.911108e+00
280,1.860103e+00
320,1.824956e+00
360,1.792944e+00
400,1.764787e+00
440,1.750488e+00
480,1.719122e+00
520,1.689634e+00
560,1.701705e+00
600,1.690630e+00
640,1.689682e+00
680,1.685646e+00
720,1.679255e+00
760,1.673080e+00
800,1.665490e+00
