Matrix dimensions: m = n = k, GFLOPS
40,6.095238e+00
80,5.818182e+00
120,5.212670e+00
160,5.361257e+00
200,6.257333e+00
240,6.974773e+00
280,7.153984e+00
320,7.060547e+00
360,6.932026e+00
400,6.825575e+00
440,6.762513e+00
480,6.661366e+00
520,6.645462e+00
560,6.539415e+00
600,6.565749e+00
640,6.524322e+00
680,6.502104e+00
720,6.493867e+00
760,6.489648e+00
800,6.474579e+00
