Matrix dimensions: m = n = k, GFLOPS
40,1.600000e+01
80,1.505882e+01
120,1.653589e+01
160,1.675256e+01
200,2.005013e+01
240,2.319463e+01
280,2.500228e+01
320,2.504241e+01
360,2.491642e+01
400,2.415550e+01
440,2.414512e+01
480,2.216273e+01
520,2.344834e+01
560,2.309977e+01
600,2.263321e+01
640,2.293172e+01
680,2.158671e+01
720,2.163067e+01
760,2.285917e+01
800,2.217602e+01
