Matrix dimensions: m = n = k, GFLOPS
40,2.461538e+00
80,1.790210e+00
120,1.610438e+00
160,1.667413e+00
200,1.877494e+00
240,1.921735e+00
280,1.862628e+00
320,1.792756e+00
360,1.789129e+00
400,1.722769e+00
440,1.726609e+00
480,1.717854e+00
520,1.636042e+00
560,1.675581e+00
600,1.690220e+00
640,1.677786e+00
680,1.672657e+00
720,1.666814e+00
760,1.661891e+00
800,1.654744e+00
