Matrix dimensions: m = n = k, GFLOPS
40,2.461538e+00
80,1.787086e+00
120,1.586777e+00
160,1.651613e+00
200,1.862631e+00
240,1.900076e+00
280,1.829028e+00
320,1.801033e+00
360,1.743498e+00
400,1.755156e+00
440,1.732386e+00
480,1.718628e+00
520,1.606288e+00
560,1.697183e+00
600,1.694596e+00
640,1.678624e+00
680,1.671062e+00
720,1.669069e+00
760,1.658359e+00
800,1.652173e+00
