Matrix dimensions: m = n = k, GFLOPS
40,1.600000e+01
80,1.575385e+01
120,1.542857e+01
160,1.788646e+01
200,2.116402e+01
240,2.395841e+01
280,2.605579e+01
320,2.518678e+01
360,2.587687e+01
400,2.567703e+01
440,2.597469e+01
480,2.426860e+01
520,2.555348e+01
560,2.572374e+01
600,2.561518e+01
640,2.523770e+01
680,2.558750e+01
720,2.539016e+01
760,2.545600e+01
800,2.521236e+01
