Matrix dimensions: m = n = k, GFLOPS
40,1.103448e+00
80,8.075710e-01
120,9.363316e-01
160,1.153640e+00
200,1.630324e+00
240,1.894088e+00
280,1.847967e+00
320,1.819737e+00
360,1.764366e+00
400,1.751961e+00
440,1.740225e+00
480,1.725843e+00
520,1.718809e+00
560,1.693982e+00
600,1.687138e+00
640,1.682859e+00
680,1.675889e+00
720,1.668006e+00
760,1.601751e+00
800,1.658171e+00
