Matrix dimensions: m = n = k, GFLOPS
40,3.878788e+00
80,3.908397e+00
120,3.827243e+00
160,4.154158e+00
200,4.675628e+00
240,5.111481e+00
280,5.194510e+00
320,5.123202e+00
360,4.902643e+00
400,4.931612e+00
440,4.870023e+00
480,4.856064e+00
520,4.765807e+00
560,4.831252e+00
600,4.639125e+00
640,4.762704e+00
680,4.799463e+00
720,4.797347e+00
760,4.536798e+00
800,4.782052e+00
