Matrix dimensions: m = n = k, GFLOPS
40,1.333333e+00
80,9.990244e-01
120,9.653631e-01
160,1.186043e+00
200,1.652210e+00
240,1.917470e+00
280,1.829638e+00
320,1.800786e+00
360,1.777947e+00
400,1.735499e+00
440,1.740225e+00
480,1.717961e+00
520,1.677579e+00
560,1.700815e+00
600,1.686749e+00
640,1.683399e+00
680,1.667760e+00
720,1.665048e+00
760,1.665137e+00
800,1.660020e+00
