Matrix dimensions: m = n = k, GFLOPS
40,1.422222e+01
80,1.402740e+01
120,1.382400e+01
160,1.551515e+01
200,1.725998e+01
240,2.189074e+01
280,2.484663e+01
320,2.449028e+01
360,2.507039e+01
400,2.523659e+01
440,2.519491e+01
480,2.498125e+01
520,2.437303e+01
560,2.438264e+01
600,2.407624e+01
640,2.276346e+01
680,2.392118e+01
720,2.394841e+01
760,2.330578e+01
800,2.206373e+01
