Matrix dimensions: m = n = k, GFLOPS
40,1.280000e+01
80,1.505882e+01
120,1.483262e+01
160,1.675256e+01
200,2.005013e+01
240,2.319463e+01
280,2.498805e+01
320,2.478669e+01
360,2.448491e+01
400,2.426080e+01
440,2.409731e+01
480,2.311464e+01
520,2.402734e+01
560,2.235011e+01
600,2.320958e+01
640,2.398499e+01
680,2.369495e+01
720,2.245303e+01
760,2.327797e+01
800,2.313183e+01
